ID,City,Country,Date_Time,Latitude,Longitude,Max_Temperature,Humidity,Wind,Clouds
3452640,Porto Seguro,BR,07/03/2019 23:08:56,-16.44,-39.06,71.6,88,4.7,0
3372707,Ribeira Grande,PT,07/03/2019 23:08:56,38.52,-28.7,67.37,87,9.06,0
1627877,Sembakung,ID,07/03/2019 23:08:57,3.82,117.25,94.73,44,1.28,37
2264923,Peniche,PT,07/03/2019 23:08:57,39.36,-9.38,63.0,93,9.17,40
2163355,Hobart,AU,07/03/2019 23:08:57,-42.88,147.33,53.01,71,5.82,20
3418910,Upernavik,GL,07/03/2019 23:08:58,72.79,-56.15,38.93,86,0.63,4
5983720,Iqaluit,CA,07/03/2019 23:04:25,63.75,-68.52,39.2,86,18.34,90
4021858,Guerrero Negro,MX,07/03/2019 23:08:58,27.97,-114.04,65.39,83,16.42,0
3424607,Tasiilaq,GL,07/03/2019 23:08:58,65.61,-37.64,42.8,81,9.17,69
2240449,Luanda,AO,07/03/2019 23:08:59,-8.83,13.24,69.53,88,7.36,41
2126123,Chokurdakh,RU,07/03/2019 23:04:24,70.62,147.9,46.49,67,7.4,92
1712961,Gigmoto,PH,07/03/2019 23:08:59,13.78,124.39,84.83,71,7.56,4
964432,Port Alfred,ZA,07/03/2019 23:09:00,-33.59,26.89,55.99,77,1.99,0
463355,Zheleznodorozhnyy,RU,07/03/2019 23:09:00,55.75,38.0,59.0,58,13.42,75
3389673,Santa Cruz,BR,07/03/2019 23:09:00,-6.22,-36.02,68.99,93,6.87,44
3026644,Souillac,FR,07/03/2019 23:09:01,45.6,-0.6,71.01,63,8.05,0
3421765,Nanortalik,GL,07/03/2019 23:06:13,60.14,-45.24,39.65,82,2.68,0
2510573,Teguise,ES,07/03/2019 23:09:01,29.06,-13.56,69.8,64,12.75,75
2065594,Mount Isa,AU,07/03/2019 23:09:01,-20.73,139.49,77.0,22,9.17,0
2450173,Taoudenni,ML,07/03/2019 23:09:02,22.68,-3.98,92.39,20,13.73,0
1106677,Bambous Virieux,MU,07/03/2019 23:09:02,-20.34,57.76,75.99,83,3.36,40
1486910,Komsomolskiy,RU,07/03/2019 23:09:02,67.55,63.78,84.83,36,18.61,24
6165406,Thompson,CA,07/03/2019 23:09:02,55.74,-97.86,48.2,81,5.82,20
1733782,Victoria,BN,07/03/2019 23:09:03,5.28,115.24,80.6,94,1.12,90
3838859,Rio Gallegos,AR,07/03/2019 23:06:40,-51.62,-69.22,24.8,92,5.82,0
2980916,Saint-Denis,FR,07/03/2019 23:09:03,48.94,2.36,62.01,62,5.82,0
1052944,Angoche,MZ,07/03/2019 23:09:03,-16.23,39.91,73.49,77,9.22,13
1632694,Pangkalanbuun,ID,07/03/2019 23:09:04,-2.68,111.62,78.35,90,1.54,100
1861416,Ishigaki,JP,07/03/2019 23:09:04,24.34,124.16,84.2,94,8.05,75
5367788,Lompoc,US,07/03/2019 23:09:04,34.64,-120.46,60.01,87,14.99,90
3463237,Florianopolis,BR,07/03/2019 23:09:05,-27.6,-48.55,57.0,87,2.44,40
5325327,Avenal,US,07/03/2019 23:09:05,36.0,-120.13,80.6,49,5.82,1
2127202,Anadyr,RU,07/03/2019 23:09:05,64.73,177.51,68.0,45,17.9,20
546105,Nikolskoye,RU,07/03/2019 23:09:06,59.7,30.79,55.99,81,20.13,90
1015776,Bredasdorp,ZA,07/03/2019 23:07:55,-34.53,20.04,52.0,87,5.82,0
5848280,Kapaa,US,07/03/2019 23:09:06,22.08,-159.32,80.6,74,8.05,40
1174653,Kashmor,PK,07/03/2019 23:09:06,28.43,69.58,112.01,16,11.07,0
2093691,Kokoda,PG,07/03/2019 23:09:07,-8.88,147.74,63.41,98,2.3,99
475614,Verkhnedneprovskiy,RU,07/03/2019 23:09:07,54.98,33.35,56.39,59,12.3,0
2071860,Esperance,AU,07/03/2019 23:04:47,-33.86,121.89,68.0,30,21.92,99
3421193,Paamiut,GL,07/03/2019 23:09:08,61.99,-49.67,42.71,80,8.16,7
1520327,Osakarovka,KZ,07/03/2019 23:09:08,50.56,72.58,71.33,55,19.44,42
3835869,Santiago del Estero,AR,07/03/2019 23:05:40,-27.8,-64.26,47.03,61,5.57,8
2017155,Saskylakh,RU,07/03/2019 23:09:09,71.97,114.09,55.85,65,8.52,86
1515029,Ulaangom,MN,07/03/2019 23:09:09,49.98,92.07,75.47,29,8.81,81
1082243,Ambilobe,MG,07/03/2019 23:09:09,-13.19,49.05,79.79,54,9.98,1
1693243,Plaridel,PH,07/03/2019 23:09:09,13.96,122.02,90.05,56,4.23,92
1019760,Bethal,ZA,07/03/2019 23:09:10,-26.46,29.47,39.99,62,3.27,0
4031574,Provideniya,RU,07/03/2019 23:09:10,64.42,-173.23,48.2,87,11.18,40
1006984,East London,ZA,07/03/2019 23:05:48,-33.02,27.91,50.0,87,6.93,0
2170581,Coolum Beach,AU,07/03/2019 23:09:10,-26.53,153.09,69.01,71,4.0,80
6050066,La Ronge,CA,07/03/2019 23:09:11,55.1,-105.3,51.8,76,4.7,40
3421319,Nuuk,GL,07/03/2019 23:09:11,64.17,-51.74,46.4,75,11.41,50
588365,Vao,EE,07/03/2019 23:09:11,59.1,26.19,55.31,55,10.31,100
3692072,Santiago de Chuco,PE,07/03/2019 23:09:12,-8.15,-78.17,44.51,89,2.95,0
3981460,Coahuayana,MX,07/03/2019 23:09:12,18.62,-100.35,72.23,86,2.59,0
4035715,Avarua,CK,07/03/2019 23:08:44,-21.21,-159.78,71.6,56,16.11,27
1266668,Khonsa,IN,07/03/2019 23:09:13,26.99,95.51,79.97,89,3.18,91
1280957,Jiayuguan,CN,07/03/2019 23:09:13,39.77,98.29,87.17,10,10.25,0
2122090,Pevek,RU,07/03/2019 23:09:13,69.7,170.27,34.61,94,5.66,73
3443061,Chuy,UY,07/03/2019 23:09:13,-33.69,-53.46,44.51,70,18.25,0
6320062,Vila Velha,BR,07/03/2019 23:09:14,-3.71,-38.6,77.0,83,5.82,40
898905,Sesheke,NA,07/03/2019 23:09:14,-17.47,24.29,48.2,70,3.36,0
1633419,Padang,ID,07/03/2019 23:09:14,-0.92,100.36,82.67,73,4.05,53
4031637,Lavrentiya,RU,07/03/2019 23:09:15,65.58,-170.99,62.33,52,11.3,13
1784310,Zhongshu,CN,07/03/2019 23:09:15,24.52,103.77,68.45,85,6.82,97
525426,Sobolevo,RU,07/03/2019 23:09:15,54.43,31.9,53.69,78,13.38,18
1636806,Majene,ID,07/03/2019 23:09:15,-3.54,118.97,82.67,75,12.59,63
3671497,Puerto Colombia,CO,07/03/2019 23:09:16,10.99,-74.96,80.6,78,13.87,0
3460954,Praia,BR,07/03/2019 23:09:16,-20.25,-43.81,55.4,87,3.24,0
3453060,Pontes e Lacerda,BR,07/03/2019 23:09:16,-15.23,-59.33,64.31,95,3.06,1
5354943,Half Moon Bay,US,07/03/2019 23:09:17,37.46,-122.43,60.8,93,12.75,90
2409914,Bonthe,SL,07/03/2019 23:09:17,7.53,-12.5,76.91,87,3.89,100
1337606,Eydhafushi,MV,07/03/2019 23:09:17,5.1,73.07,83.75,73,9.42,61
359792,Aswan,EG,07/03/2019 23:09:18,24.09,32.9,86.0,20,8.05,0
4031742,Egvekinot,RU,07/03/2019 23:09:18,66.32,-179.17,61.79,53,14.43,52
6322184,Porto Novo,BR,07/03/2019 23:09:18,-23.68,-45.44,66.2,88,12.15,75
108410,Riyadh,SA,07/03/2019 23:09:18,24.63,46.72,95.0,11,9.17,0
3947322,Arequipa,PE,07/03/2019 23:05:03,-16.4,-71.54,50.0,25,8.05,0
2460954,Araouane,ML,07/03/2019 23:09:19,18.9,-3.53,93.29,24,13.15,10
1688687,San Quintin,PH,07/03/2019 23:09:19,17.54,120.52,85.55,67,7.16,100
1684245,Tagusao,PH,07/03/2019 23:09:19,9.19,117.81,85.37,62,2.55,97
1516589,Zhezkazgan,KZ,07/03/2019 23:09:20,47.8,67.71,78.8,47,6.71,40
3545981,Niquero,CU,07/03/2019 23:09:20,20.04,-77.58,83.39,69,3.33,32
1273574,Vaini,IN,07/03/2019 23:09:20,15.34,74.49,78.8,78,11.41,75
2219235,Awbari,LY,07/03/2019 23:09:21,26.59,12.77,89.87,15,10.42,0
3939168,Huarmey,PE,07/03/2019 23:09:21,-10.07,-78.15,62.87,84,14.83,55
2122614,Ekhabi,RU,07/03/2019 23:09:21,53.51,142.97,59.63,70,18.81,97
344979,Lebu,ET,07/03/2019 23:09:22,8.96,38.73,62.69,72,2.01,91
5554072,Juneau,US,07/03/2019 23:07:40,58.3,-134.42,68.0,68,10.29,20
543508,Kovdor,RU,07/03/2019 23:09:22,67.56,30.47,51.89,87,3.22,100
3420846,Qaqortoq,GL,07/03/2019 23:09:22,60.72,-46.03,44.6,70,4.7,0
2269594,Cascais,PT,07/03/2019 23:09:23,38.7,-9.42,64.4,93,9.17,40
2175403,Bluff,AU,07/03/2019 23:09:23,-23.58,149.07,65.57,66,8.37,100
2995603,Saint-Pierre,FR,07/03/2019 23:09:23,48.95,4.24,57.99,71,10.29,0
3843123,Neuquen,AR,07/03/2019 23:09:24,-38.95,-68.06,41.0,93,2.24,40
1862505,Hirara,JP,07/03/2019 23:09:24,24.8,125.28,77.0,94,5.82,75
2140558,Koumac,NC,07/03/2019 23:09:24,-20.56,164.28,73.49,68,11.18,94
2136697,Lakatoro,VU,07/03/2019 23:09:24,-16.11,167.42,80.15,80,11.9,43
3870282,Talcahuano,CL,07/03/2019 23:09:25,-36.72,-73.12,46.4,93,6.93,75
5880568,Bethel,US,07/03/2019 23:09:25,60.79,-161.76,57.2,93,13.87,90
751816,Artvin,TR,07/03/2019 23:09:25,41.18,41.83,75.2,78,4.7,20
5969025,Haines Junction,CA,07/03/2019 23:09:26,60.75,-137.51,57.29,71,3.38,84
98182,Baghdad,IQ,07/03/2019 23:09:26,33.3,44.38,93.2,23,12.75,0
2014833,Tura,RU,07/03/2019 23:09:26,64.27,100.22,80.87,32,13.78,32
1524801,Shieli,KZ,07/03/2019 23:09:26,44.18,66.74,92.75,24,7.92,0
2160063,Codrington,AU,07/03/2019 23:09:27,-28.95,153.24,68.0,68,14.99,75
2022572,Khatanga,RU,07/03/2019 23:09:27,71.98,102.47,64.13,42,12.3,40
2126493,Boshnyakovo,RU,07/03/2019 23:09:27,49.65,142.17,51.53,95,14.79,15
2388036,Bossangoa,CF,07/03/2019 23:09:28,6.5,17.45,71.15,96,2.8,100
3397893,Itacoatiara,BR,07/03/2019 23:09:28,-3.14,-58.44,72.05,92,2.04,5
5572400,Susanville,US,07/03/2019 23:09:28,40.42,-120.65,62.6,42,5.82,1
1633442,Paciran,ID,07/03/2019 23:09:29,-6.9,112.33,85.73,63,11.41,42
1083724,Ambanja,MG,07/03/2019 23:09:29,-13.68,48.45,76.73,76,8.39,0
2622139,Fjerritslev,DK,07/03/2019 23:09:29,57.08,9.27,57.0,87,3.0,67
1794903,Shiyan,CN,07/03/2019 23:09:30,32.65,110.78,67.37,87,1.12,100
4732862,Nome,US,07/03/2019 23:09:30,30.04,-94.42,82.99,100,4.7,1
2225940,Yatou,CM,07/03/2019 23:09:30,3.63,9.81,77.0,100,12.75,75
1177203,Hangu,PK,07/03/2019 23:09:30,33.53,71.06,99.59,15,6.51,0
1635111,Puri,ID,07/03/2019 23:09:31,-7.54,112.45,89.87,50,6.62,44
1014034,Carnarvon,ZA,07/03/2019 23:09:31,-30.97,22.13,42.89,34,6.85,0
532825,Lyaskelya,RU,07/03/2019 23:09:31,61.77,31.02,56.21,54,8.77,100
3580733,Bodden Town,KY,07/03/2019 23:09:32,19.28,-81.25,83.93,67,4.03,7
6111862,Port Hardy,CA,07/03/2019 23:09:32,50.7,-127.42,57.2,87,8.05,90
4899665,Lewistown,US,07/03/2019 23:09:32,40.39,-90.15,73.0,94,6.93,1
3137469,Sorland,NO,07/03/2019 23:09:33,67.67,12.69,48.2,81,16.11,40
1162634,Wana,PK,07/03/2019 23:09:33,32.31,69.59,79.43,33,10.38,0
3437029,San Patricio,PY,07/03/2019 23:09:33,-26.98,-56.83,40.37,78,4.5,0
4231997,Avera,US,07/03/2019 23:09:33,33.19,-82.53,84.0,88,4.7,1
3386177,Trairi,BR,07/03/2019 23:09:34,-3.28,-39.27,69.35,97,4.43,4
3141332,Roros,NO,07/03/2019 23:09:34,62.57,11.38,39.2,93,8.05,75
5847411,Kahului,US,07/03/2019 23:06:43,20.89,-156.47,75.99,94,12.75,1
5768244,Rapid Valley,US,07/03/2019 23:09:35,44.06,-103.15,66.2,93,20.8,90
3449747,Santa Vitoria do Palmar,BR,07/03/2019 23:09:35,-33.52,-53.37,41.45,75,14.45,0
2120047,Ust-Omchug,RU,07/03/2019 23:09:35,61.13,149.63,61.43,44,15.52,31
104515,Mecca,SA,07/03/2019 23:08:58,21.43,39.83,92.75,31,6.2,0
3572189,High Rock,BS,07/03/2019 23:09:36,26.63,-78.28,83.57,76,8.48,58
2185329,Otane,NZ,07/03/2019 23:09:36,-39.89,176.62,45.0,94,11.23,100
704885,Korostyshiv,UA,07/03/2019 23:09:37,50.32,29.06,59.45,70,9.91,0
4115181,Hope,US,07/03/2019 23:09:37,33.67,-93.59,75.99,88,5.82,1
1244926,Hambantota,LK,07/03/2019 23:09:37,6.12,81.12,89.6,70,12.75,75
3020925,Dourdan,FR,07/03/2019 23:09:38,48.53,2.01,62.01,62,11.41,0
3577430,Road Town,VG,07/03/2019 23:04:49,18.42,-64.62,82.0,78,10.29,1
5969785,Hamilton,CA,07/03/2019 23:08:36,43.26,-79.87,71.01,93,2.24,20
778707,Mehamn,NO,07/03/2019 23:05:27,71.03,27.85,44.6,93,11.41,75
904422,Mumbwa,ZM,07/03/2019 23:09:39,-14.99,27.06,59.99,75,9.55,0
4366164,Washington DC.,US,07/03/2019 22:58:51,38.9,-77.04,79.0,100,2.33,1
5554428,Ketchikan,US,07/03/2019 23:09:40,55.34,-131.65,57.2,87,10.29,90
687093,Kozulka,UA,07/03/2019 23:09:40,50.04,23.8,59.0,62,6.71,0
3372745,Rabo de Peixe,PT,07/03/2019 23:09:40,37.8,-25.58,66.2,88,10.29,40
2063036,Port Lincoln,AU,07/03/2019 23:09:40,-34.72,135.86,56.39,73,16.87,0
3451138,Rio Grande,BR,07/03/2019 23:09:41,-32.03,-52.1,39.83,77,8.95,0
3133895,Tromso,NO,07/03/2019 23:09:41,69.65,18.96,48.2,87,1.12,75
3389609,Pimentel,BR,07/03/2019 23:09:41,-3.7,-45.5,70.07,99,1.19,0
2980080,Saint-Francois,FR,07/03/2019 23:09:42,46.42,3.91,62.6,82,1.36,0
4152311,Crestview,US,07/03/2019 23:09:42,30.76,-86.57,82.4,88,3.36,1
651951,Kokkola,FI,07/03/2019 23:09:42,63.84,23.13,55.4,62,11.41,0
5924351,Clyde River,CA,07/03/2019 23:09:43,70.47,-68.59,32.0,86,4.7,90
3698359,Chicama,PE,07/03/2019 23:09:43,-7.84,-79.15,62.6,88,6.93,90
2161515,Kiama,AU,07/03/2019 23:09:43,-34.67,150.86,60.01,67,10.29,75
610864,Khani,GE,07/03/2019 23:09:44,41.96,42.96,77.0,69,2.24,75
3899695,Ancud,CL,07/03/2019 23:09:44,-41.87,-73.83,33.8,100,3.36,0
2136825,Isangel,VU,07/03/2019 23:09:44,-19.55,169.27,77.0,78,4.7,75
1037125,Montepuez,MZ,07/03/2019 23:09:45,-13.13,39.0,70.97,64,10.33,0
1714733,Dingle,PH,07/03/2019 23:09:45,11.0,122.67,84.83,69,0.76,99
1804430,Lanzhou,CN,07/03/2019 23:09:45,36.06,103.82,77.0,41,6.71,0
2123814,Leningradskiy,RU,07/03/2019 23:09:46,69.38,178.42,38.75,91,5.14,98
986717,Kruisfontein,ZA,07/03/2019 23:09:46,-34.0,24.73,49.73,71,4.59,0
1528998,Yumen,CN,07/03/2019 23:09:46,40.29,97.04,92.21,9,6.78,0
4034551,Faanui,PF,07/03/2019 23:09:47,-16.48,-151.75,76.55,72,31.83,87
1488903,Turukhansk,RU,07/03/2019 23:09:47,65.8,87.96,85.37,49,2.89,0
2630299,Hofn,IS,07/03/2019 23:09:47,64.25,-15.21,39.29,99,3.62,100
1489401,Toora-Khem,RU,07/03/2019 23:09:47,52.47,96.11,75.65,49,1.92,100
3421719,Narsaq,GL,07/03/2019 23:09:48,60.91,-46.05,44.6,70,4.7,0
3374210,Sao Filipe,CV,07/03/2019 23:09:48,14.9,-24.5,73.31,87,12.48,61
3685292,Dagua,CO,07/03/2019 23:09:48,3.66,-76.69,71.6,83,6.93,100
3516488,Sucila,MX,07/03/2019 23:09:49,21.15,-88.32,75.29,94,4.76,5
745664,Hendek,TR,07/03/2019 23:09:49,40.8,30.75,75.2,83,5.82,20
3382160,Cayenne,GF,07/03/2019 23:09:49,4.94,-52.33,75.2,94,2.64,0
3620266,Corn Island,NI,07/03/2019 23:09:50,12.17,-83.04,81.41,80,20.2,100
6185607,Yorkton,CA,07/03/2019 23:09:50,51.21,-102.46,55.4,76,3.36,1
2374583,Bubaque,GW,07/03/2019 23:09:50,11.28,-15.83,79.61,83,12.59,98
3448350,Pombas,BR,07/03/2019 23:09:50,-15.9,-54.74,69.53,65,3.04,23
3576994,Cockburn Town,TC,07/03/2019 23:05:16,21.46,-71.14,81.95,80,19.15,35
1282256,Hithadhoo,MV,07/03/2019 23:09:51,-0.6,73.08,84.11,76,13.51,48
3412093,Vestmannaeyjar,IS,07/03/2019 23:09:51,63.44,-20.27,49.73,81,11.95,100
2068110,Kununurra,AU,07/03/2019 23:09:51,-15.77,128.74,86.0,10,9.17,0
5793272,East Wenatchee Bench,US,07/03/2019 23:09:52,47.43,-120.28,69.8,40,5.82,1
371745,Kutum,SD,07/03/2019 23:09:52,14.2,24.66,81.77,42,8.63,28
3146487,Raudeberg,NO,07/03/2019 23:09:52,61.99,5.14,48.2,87,18.34,75
1628757,Maloy,ID,07/03/2019 23:09:53,1.0,118.1,85.19,64,4.36,54
3459462,Jundiai,BR,07/03/2019 23:09:53,-23.19,-46.88,68.0,64,2.24,75
1648186,Bontang,ID,07/03/2019 23:09:54,0.12,117.47,92.03,47,0.85,64
6167817,Torbay,CA,07/03/2019 23:07:10,47.66,-52.73,51.01,100,6.93,90
1054463,Tsiroanomandidy,MG,07/03/2019 23:09:54,-18.77,46.05,65.57,51,3.0,0
2122605,Okhotsk,RU,07/03/2019 23:09:54,59.36,143.24,48.29,93,12.03,100
2236568,Uige,AO,07/03/2019 23:09:55,-7.61,15.06,62.69,69,2.19,60
921786,Mitsamiouli,KM,07/03/2019 23:09:55,-11.38,43.28,73.4,69,4.7,75
618453,Kamenka,MD,07/03/2019 23:09:55,48.03,28.7,66.0,60,3.0,22
4407665,Kodiak,US,07/03/2019 23:09:55,39.95,-94.76,75.99,60,7.25,1
2222230,Sangmelima,CM,07/03/2019 23:09:56,2.93,11.98,69.17,98,2.71,100
2647311,Haverfordwest,GB,07/03/2019 23:09:56,51.8,-4.97,57.99,93,2.24,15
1505991,Igarka,RU,07/03/2019 23:09:56,67.47,86.57,83.93,38,5.93,21
3423146,Ilulissat,GL,07/03/2019 23:09:57,69.22,-51.1,44.6,75,2.24,33
3520994,Puerto Escondido,MX,07/03/2019 23:09:57,15.86,-97.07,77.09,81,4.65,48
3530097,Champerico,MX,07/03/2019 23:09:57,16.38,-93.6,77.0,83,2.13,5
2027044,Batagay,RU,07/03/2019 23:09:58,67.65,134.64,52.97,53,3.15,100
1852357,Shimoda,JP,07/03/2019 23:09:58,34.7,138.93,80.6,78,8.05,75
2729907,Longyearbyen,NO,07/03/2019 23:09:58,78.22,15.63,48.2,66,9.17,40
1035025,Nacala,MZ,07/03/2019 23:09:58,-14.56,40.69,74.57,72,12.53,4
2377457,Nouadhibou,MR,07/03/2019 23:09:59,20.93,-17.03,69.8,73,20.8,0
1495626,Pangody,RU,07/03/2019 23:09:59,65.85,74.49,85.19,28,14.5,99
3395981,Maceio,BR,07/03/2019 23:05:20,-9.67,-35.74,71.6,88,3.36,0
3416888,Grindavik,IS,07/03/2019 23:10:00,63.84,-22.43,51.01,100,6.93,90
3347019,Namibe,AO,07/03/2019 23:10:00,-15.19,12.15,69.53,75,13.71,13
3372472,Vila Franca do Campo,PT,07/03/2019 23:10:00,37.72,-25.43,66.2,88,10.29,40
3401148,Cururupu,BR,07/03/2019 23:10:00,-1.82,-44.87,72.41,99,2.24,7
5128549,New Rochelle,US,07/03/2019 23:08:06,40.91,-73.78,78.01,83,3.36,1
